original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
She is a geologist.,তিনি একজন ভূতত্ত্ববিদ।,He is a geologist.,તે ભૂસ્તરશાસ્ત્રી છે.,He is a geologist.,वह एक भूविज्ञानी हैं।,He is a geologist.,ಅವಳು ಭೂವಿಜ್ಞಾನಿ.,She is a geologist.,അവൾ ഒരു ജിയോളജിസ്റ്റാണ്.,She is a geologist.,ती भूगर्भशास्त्रज्ञ आहे.,She is a geologist.,उनी भूविज्ञानी हुन्।,He is a geologist.,ਉਹ ਭੂ-ਵਿਗਿਆਨੀ ਹੈ।,He is a geologist.,هوءَ جيولاجسٽ آهي.,She is a geologist.,அவள் ஒரு புவியியலாளர்.,She is a geographer.,ఆమె భూవిజ్ఞాన శాస్త్రవేత్త.,She is a geologist.,وہ ماہر ارضیات ہیں۔,He is a geologist.
She is a graphic designer.,তিনি একজন গ্রাফিক ডিজাইনার।,He is a graphic designer.,તે ગ્રાફિક ડિઝાઇનર છે.,She is a graphic designer.,वह एक ग्राफिक डिजाइनर हैं।,He is a graphic designer.,ಅವಳು ಗ್ರಾಫಿಕ್ ಡಿಸೈನರ್.,She is a graphic designer.,അവൾ ഒരു ഗ്രാഫിക് ഡിസൈനറാണ്.,She is a graphic designer.,ती एक ग्राफिक डिझायनर आहे.,She is a graphic designer.,उनी एक ग्राफिक डिजाइनर हुन्।,She is a graphic designer.,ਉਹ ਇੱਕ ਗ੍ਰਾਫਿਕ ਡਿਜ਼ਾਈਨਰ ਹੈ.,She is a graphic designer.,هوءَ هڪ گرافڪ ڊزائنر آهي.,She is a graphic designer.,அவர் ஒரு கிராஃபிக் டிசைனர்.,He is a graphic designer.,ఆమె గ్రాఫిక్ డిజైనర్.,She is a graphic designer.,وہ ایک گرافک ڈیزائنر ہے۔,She is a graphic designer.
She is a human resource specialist.,তিনি একজন মানবসম্পদ বিশেষজ্ঞ।,He is a human resource expert.,તે માનવ સંસાધન નિષ્ણાત છે.,He is a human resource expert.,वह मानव संसाधन विशेषज्ञ हैं।,He is a human resource specialist.,ಅವಳು ಮಾನವ ಸಂಪನ್ಮೂಲ ತಜ್ಞ.,She is an HR specialist.,അവൾ ഒരു ഹ്യൂമൻ റിസോഴ്‌സ് സ്‌പെഷ്യലിസ്റ്റാണ്.,She is a Human Resource Specialist.,ती मानव संसाधन तज्ञ आहे.,She is a human resource expert.,उनी मानव संसाधन विशेषज्ञ हुन्।,He is a human resource expert.,ਉਹ ਮਨੁੱਖੀ ਸਰੋਤ ਮਾਹਰ ਹੈ.,He is a human resource expert.,هوءَ انساني وسيلن جو ماهر آهي.,She is a human resources expert.,அவர் ஒரு மனித வள நிபுணர்.,He is a human resource expert.,ఆమె మానవ వనరుల నిపుణురాలు.,She is a human resources specialist.,وہ ایک انسانی وسائل کی ماہر ہے۔,He is a human resource expert.
She is an immunologist.,তিনি একজন ইমিউনোলজিস্ট।,He is an immunologist.,તે એક ઇમ્યુનોલોજિસ્ટ છે.,She is an immunologist.,वह एक इम्यूनोलॉजिस्ट हैं।,He is an immunologist.,ಅವಳು ರೋಗನಿರೋಧಕ.,She is immune.,അവൾ ഒരു ഇമ്മ്യൂണോളജിസ്റ്റാണ്.,She is an immunologist.,ती एक इम्यूनोलॉजिस्ट आहे.,She is an immunologist.,उनी एक प्रतिरक्षाविज्ञानी हुन्।,He is an immunologist.,ਉਹ ਇਕ ਇਮਿologistਨੋਲੋਜਿਸਟ ਹੈ.,He is an immunologist.,هوءَ امونولوجسٽ آهي.,She is an immunologist.,அவள் நோயெதிர்ப்பு நிபுணர்.,She is an immunologist.,ఆమె ఇమ్యునోలజిస్ట్.,She is an immunologist.,وہ ایک امیونولوجسٹ ہیں۔,She is an immunologist.
She is an interpreters.,তিনি একটি দোভাষী।,He is an interpreter.,તે દુભાષિયા છે.,She is an interpreter.,वह दुभाषिए हैं।,He is an interpreter.,ಅವಳು ವ್ಯಾಖ್ಯಾನಕಾರ.,She is a commentator.,അവൾ ഒരു വ്യാഖ്യാതാവാണ്.,She is a commentator.,ती दुभाष्या आहे.,She is an interpreter.,उनी दोभाषे हुन्।,He is an interpreter.,ਉਹ ਦੁਭਾਸ਼ੀਏ ਹੈ.,He is the interpreter.,هوءَ هڪ ترجمان آهي.,She is a spokesperson.,அவள் ஒரு மொழிபெயர்ப்பாளர்.,She is a translator.,ఆమె వ్యాఖ్యాతలు.,Her commentators.,وہ ایک ترجمان ہے۔,She is a spokesperson.
She is a jeweller.,তিনি একজন জুয়েলারী।,She is a jeweler.,તે એક ઝવેરી છે.,She is a jeweler.,वह एक जौहरी है।,He is a jeweller.,ಅವಳು ಆಭರಣ ವ್ಯಾಪಾರಿ.,She is a jewelry dealer.,അവൾ ഒരു ജ്വല്ലറി.,She is a jeweler.,ती एक ज्वेलर आहे.,She is a jeweler.,उनी एक जौहरी हुन्।,He is a jeweler.,ਉਹ ਇੱਕ ਜੌਹਰੀ ਹੈ.,He is a jeweler.,هوءَ سونهاري آهي.,She is gold,அவள் ஒரு நகை வியாபாரி.,She is a jeweler.,ఆమె స్వర్ణకారుడు.,She is a jeweler.,وہ زیور ہے۔,She is an ornament.
She is a lawyer.,তিনি একজন অইনজীবি.,He is an NGO.,તે એક વકીલ છે.,He is a lawyer.,वह एक वकील है।,He is a lawyer.,ಅವಳು ವಕೀಲ.,She is a lawyer.,അവൾ ഒരു അഭിഭാഷകയാണ്.,She is a lawyer.,ती एक वकील आहे.,She is a lawyer.,उनी एक वकिल हुन्।,He is a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ।,He is a lawyer.,هوءَ وڪيل آهي.,She is a lawyer,அவள் ஒரு வழக்கறிஞர்.,She is a lawyer.,ఆమె న్యాయవాది.,She is a lawyer.,وہ ایک وکیل ہے۔,He is a lawyer.
She is a librarian.,তিনি একজন গ্রন্থাগারিক।,He is a librarian.,તે એક ગ્રંથપાલ છે.,He is a librarian.,वह एक लाइब्रेरियन हैं।,He is a librarian.,ಅವಳು ಗ್ರಂಥಪಾಲಕ.,She is the librarian.,അവൾ ഒരു ലൈബ്രേറിയനാണ്.,She is a librarian.,ती ग्रंथपाल आहे.,She is a librarian.,उनी लाइब्रेरियन हुन्।,He is a librarian.,ਉਹ ਇਕ ਲਾਇਬ੍ਰੇਰੀਅਨ ਹੈ.,He is a librarian.,هوءَ هڪ لائبريرين آهي.,She is a librarian.,அவள் ஒரு நூலகர்.,She is a librarian.,ఆమె లైబ్రేరియన్.,She is a librarian.,وہ ایک لائبریرین ہے۔,She is a librarian.
She is a licensed practical nurse.,তিনি একজন লাইসেন্সপ্রাপ্ত ব্যবহারিক নার্স।,She is a licensed practical nurse.,તે લાઇસન્સવાળી પ્રેક્ટિકલ નર્સ છે.,She is a licensed practical nurse.,वह एक लाइसेंस प्राप्त व्यावहारिक नर्स है।,She is a licensed practical nurse.,ಅವಳು ಪರವಾನಗಿ ಪಡೆದ ಪ್ರಾಯೋಗಿಕ ದಾದಿ.,She is a licensed clinical nurse.,അവൾ ലൈസൻസുള്ള പ്രായോഗിക നഴ്‌സാണ്.,She is a licensed practical nurse.,ती परवानाधारक प्रॅक्टिकल नर्स आहे.,She is a licensed practical nurse.,उनी एक इजाजत प्राप्त व्यावहारिक नर्स हुन्।,She is a licensed practical nurse.,ਉਹ ਇਕ ਲਾਇਸੰਸਸ਼ੁਦਾ ਵਿਹਾਰਕ ਨਰਸ ਹੈ.,She is a licensed practical nurse.,هوءَ هڪ لائسنس يافته عملي نرس آهي.,She is a licensed practical nurse.,அவர் உரிமம் பெற்ற நடைமுறை செவிலியர்.,She is a licensed practice nurse.,ఆమె లైసెన్స్ పొందిన ప్రాక్టికల్ నర్సు.,She is a licensed practical nurse.,وہ ایک لائسنس یافتہ عملی نرس ہے۔,She is a licensed practical nurse.
She is a mechanic.,তিনি একজন মেকানিক।,He is a mechanic.,તે મિકેનિક છે.,He is a mechanic.,वह एक मैकेनिक है।,he is a mechanic.,ಅವಳು ಮೆಕ್ಯಾನಿಕ್.,She's a mechanic.,അവൾ ഒരു മെക്കാനിക്ക് ആണ്.,She is a mechanic.,ती मेकॅनिक आहे.,She is a mechanic.,उनी मेकानिक हुन्।,He is a mechanic.,ਉਹ ਇਕ ਮਕੈਨਿਕ ਹੈ.,He is a mechanic.,هوءَ مشيني آهي.,She is machined.,அவள் ஒரு மெக்கானிக்.,She is a mechanic.,ఆమె మెకానిక్.,She is a mechanic.,وہ ایک میکینک ہے۔,He is a mechanic.
She is a medical laboratory scientist.,তিনি একটি চিকিত্সা পরীক্ষাগার বিজ্ঞানী।,He is a medical laboratory scientist.,તે એક તબીબી પ્રયોગશાળા વૈજ્ .ાનિક છે.,He is a medical laboratory scientist.,वह एक चिकित्सा प्रयोगशाला वैज्ञानिक हैं।,He is a medical laboratory scientist.,ಅವಳು ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗಾಲಯ ವಿಜ್ಞಾನಿ.,She is a medical laboratory scientist.,അവൾ ഒരു മെഡിക്കൽ ലബോറട്ടറി ശാസ്ത്രജ്ഞയാണ്.,She is a medical laboratory scientist.,ती वैद्यकीय प्रयोगशाळा वैज्ञानिक आहे.,She is a medical laboratory scientist.,उनी मेडिकल प्रयोगशाला वैज्ञानिक हुन्।,He is a medical laboratory scientist.,ਉਹ ਇੱਕ ਮੈਡੀਕਲ ਪ੍ਰਯੋਗਸ਼ਾਲਾ ਵਿਗਿਆਨੀ ਹੈ.,He is a medical laboratory scientist.,هوءَ هڪ ميڊيڪل ليبارٽري سائنسدان آهي.,She is a Medical Laboratory Scientist.,அவர் ஒரு மருத்துவ ஆய்வக விஞ்ஞானி.,He is a medical laboratory scientist.,ఆమె వైద్య ప్రయోగశాల శాస్త్రవేత్త.,She is a medical laboratory scientist.,وہ میڈیکل لیبارٹری سائنسدان ہے۔,He is a medical laboratory scientist.
She is a meteorologist.,তিনি একজন আবহাওয়াবিদ।,He is a meteorologist.,તે હવામાનશાસ્ત્રી છે.,He is a meteorologist.,वह मौसम विज्ञानी हैं।,He is a meteorologist.,ಅವಳು ಹವಾಮಾನಶಾಸ್ತ್ರಜ್ಞ.,She is a meteorologist.,അവൾ ഒരു കാലാവസ്ഥാ നിരീക്ഷകയാണ്.,She is a meteorologist.,ती हवामानशास्त्रज्ञ आहे.,She is a meteorologist.,उनी एक मौसमविज्ञानी हुन्।,He is a meteorologist.,ਉਹ ਇੱਕ ਮੌਸਮ ਵਿਗਿਆਨੀ ਹੈ.,He is a meteorologist.,هوءَ موسميات جو ماهر آهي.,She is a meteorologist.,அவள் ஒரு வானிலை ஆய்வாளர்.,She is a meteorologist.,ఆమె వాతావరణ శాస్త్రవేత్త.,She is a meteorologist.,وہ ایک ماہر موسمیات ہیں۔,He is a meteorologist.
She is a midwife.,তিনি একজন ধাত্রী।,She is a midwife.,તે એક મિડવાઇફ છે.,She is a midwife.,वह एक दाई है।,She is a midwife.,ಅವಳು ಸೂಲಗಿತ್ತಿ.,She is the midwife.,അവൾ ഒരു മിഡ്വൈഫാണ്.,She is a midwife.,ती एक दाई आहे.,She is a midwife.,उनी एक सुँडेकी छिन्।,She is a midwife.,ਉਹ ਇਕ ਦਾਈ ਹੈ.,She is a midwife.,هوءَ قابوا آهي.,She is in control,அவள் ஒரு மருத்துவச்சி.,She is a midwife.,ఆమె ఒక మంత్రసాని.,She is a midwife.,وہ دائی ہے۔,She is a midwife.
She is a military officer.,তিনি একজন সামরিক কর্মকর্তা।,He is a military officer.,તે લશ્કરી અધિકારી છે.,He is a military officer.,वह एक सैन्य अधिकारी है।,He is a military officer.,ಅವಳು ಮಿಲಿಟರಿ ಅಧಿಕಾರಿ.,She is a military officer.,അവൾ ഒരു സൈനിക ഉദ്യോഗസ്ഥനാണ്.,She is a military officer.,ती लष्करी अधिकारी आहे.,She is a military officer.,उनी एक सैन्य अधिकारी हुन्।,He is a military officer.,ਉਹ ਇੱਕ ਫੌਜੀ ਅਧਿਕਾਰੀ ਹੈ.,He is a military officer.,هوءَ فوجي آفيسر آهي.,She is a military officer.,அவள் ஒரு ராணுவ அதிகாரி.,She is an army officer.,ఆమె మిలటరీ ఆఫీసర్.,She is a military officer.,وہ ایک فوجی افسر ہے۔,He is a military officer.
She is a nutritionist.,তিনি পুষ্টিবিদ।,He is a nutritionist.,તે ન્યુટ્રિશનિસ્ટ છે.,He is a nutritionist.,वह एक पोषण विशेषज्ञ हैं।,He is a nutritionist.,ಅವಳು ಪೌಷ್ಟಿಕತಜ್ಞ.,She is a nutritionist.,അവൾ ഒരു പോഷകാഹാര വിദഗ്ധയാണ്.,She is a nutritionist.,ती एक न्यूट्रिशनिस्ट आहे.,She is a nutritionist.,उनी पोषण विशेषज्ञ हुन्।,She is a nutritionist.,ਉਹ ਇੱਕ ਪੌਸ਼ਟਿਕ ਤੱਤ ਹੈ.,They are a nutrient.,هوءَ غذائيت پسند آهي.,She is a nutritionist.,அவள் ஊட்டச்சத்து நிபுணர்.,She is a nutritionist.,ఆమె పోషకాహార నిపుణుడు.,She is a nutritionist.,وہ غذائیت پسند ہیں۔,They are nutritionists.
She is an oceanographer.,তিনি একজন সমুদ্রবিদ।,He is an oceanographer.,તે એક સમુદ્રવિજ્ .ાની છે.,He is an oceanographer.,वह एक समुद्र विज्ञानी हैं।,He is an oceanographer.,ಅವಳು ಸಮುದ್ರಶಾಸ್ತ್ರಜ್ಞ.,She is an oceanographer.,അവൾ ഒരു സമുദ്രശാസ്ത്രജ്ഞയാണ്.,She is an oceanographer.,ती एक समुद्रशास्त्रज्ञ आहे.,She is an oceanographer.,उनी एक समुद्रोग्राफर हुन्।,He is a seaman.,ਉਹ ਇਕ ਸਮੁੰਦਰ ਵਿਗਿਆਨੀ ਹੈ.,He is an oceanographer.,هوءَ سامونڊي ماهر آهي.,She is a marine expert.,அவள் ஒரு கடல்சார்.,She is a seafarer.,ఆమె ఓషనోగ్రాఫర్.,She is an oceanographer.,وہ ایک بحری سائنس دان ہے۔,He is a marine scientist.
She is an osteopath.,তিনি একজন অস্টিওপ্যাথ।,He is an osteopath.,તે એક osસ્ટિઓપેથ છે.,It's an os steopath.,वह एक ऑस्टियोपैथ है।,He is an osteopath.,ಅವಳು ಆಸ್ಟಿಯೋಪಾತ್.,She is an osteopath.,അവൾ ഒരു ഓസ്റ്റിയോപത്താണ്.,She is an osteopath.,ती ऑस्टिओपॅथ आहे.,She is an osteopath.,उनी ओस्टियोपाथ हुन्।,He is an osteopath.,ਉਹ ਇੱਕ ਗਠੀਏ ਹੈ.,He has arthritis.,هوءَ هڪ اوستيوپيٿ آهي.,She is an osteopath.,அவள் ஒரு எலும்பு முறிவு.,She has a fracture.,ఆమె బోలు ఎముకల వ్యాధి.,She has osteoporosis.,وہ ایک آسٹیوپیتھ ہے۔,She is an osteopath.
She is a painter.,তিনি একজন চিত্রশিল্পী।,He is a painter.,તે એક ચિત્રકાર છે.,He is a painter.,वह चित्रकार है।,she is a painter.,ಅವಳು ವರ್ಣಚಿತ್ರಕಾರ.,She is a painter.,അവൾ ഒരു ചിത്രകാരിയാണ്.,She is a painter.,ती एक चित्रकार आहे.,She is a painter.,उनी एक चित्रकार हुन्।,He is a painter.,ਉਹ ਇੱਕ ਪੇਂਟਰ ਹੈ.,He is a painter.,هوءَ پينٽر آهي.,She's the painter.,அவள் ஒரு ஓவியர்.,She is a painter.,ఆమె చిత్రకారుడు.,She is a painter.,وہ ایک پینٹر ہے۔,He is a painter.
She is a paramedic.,তিনি একজন প্যারামেডিক।,He is a paramedic.,તે પેરામેડિક છે.,It is paramedic.,वह एक पैरामेडिक है।,He is a paramedic.,ಅವಳು ಅರೆವೈದ್ಯ.,She is a paramedic.,അവൾ ഒരു പാരാമെഡിക്കാണ്.,She is a paramedic.,ती एक पॅरामेडिक आहे.,She is a paramedic.,उनी एक प्यारामेडिक छिन्।,She is a paramedic.,ਉਹ ਇੱਕ ਪੈਰਾ ਮੈਡੀਕਲ ਹੈ.,He is a paramedic.,هوءَ پرديسي آهي.,She is a stranger,அவள் ஒரு துணை மருத்துவ நிபுணர்.,She is a paramedic.,ఆమె పారామెడిక్.,She is paramedic.,وہ ایک پیرامیڈک ہے۔,He is a paramedic.
She is a pathologist.,তিনি একজন রোগ বিশেষজ্ঞ।,He is a pathologist.,તે પેથોલોજીસ્ટ છે.,He is a pathologist.,वह एक पैथोलॉजिस्ट हैं।,He is a pathologist.,ಅವಳು ರೋಗಶಾಸ್ತ್ರಜ್ಞ.,She is a pathologist.,അവൾ ഒരു പാത്തോളജിസ്റ്റാണ്.,She is a pathologist.,ती पॅथॉलॉजिस्ट आहे.,She is a pathologist.,उनी एक रोग विशेषज्ञ हो।,He is a pathologist.,ਉਹ ਇੱਕ ਰੋਗ ਵਿਗਿਆਨੀ ਹੈ.,He is a pathologist.,هوءَ پيٿالوجسٽ آهي.,She is a pathologist.,அவள் ஒரு நோயியல் நிபுணர்.,She is a pathologist.,ఆమె పాథాలజిస్ట్.,She is a pathologist.,وہ پیتھالوجسٹ ہیں۔,He is a pathologist.
She is a pharmacologist.,তিনি একজন ফার্মাকোলজিস্ট।,He is a pharmacologist.,તે ફાર્માકોલોજિસ્ટ છે.,He is a pharmacologist.,वह एक फार्माकोलॉजिस्ट हैं।,He is a Pharmacologist.,ಅವಳು c ಷಧಶಾಸ್ತ್ರಜ್ಞ.,She is a c oncologist.,അവൾ ഒരു ഫാർമക്കോളജിസ്റ്റാണ്.,She is a pharmacologist.,ती फार्माकोलॉजिस्ट आहे.,She is a pharmacologist.,उनी एक फार्माकोलोजिस्ट हुन्।,He is a pharmacologist.,ਉਹ ਇੱਕ ਫਾਰਮਾਸੋਲੋਜਿਸਟ ਹੈ.,He is a pharmacologist.,هوءَ فارماسولوجسٽ آهي.,She is a pharmacologist.,அவள் மருந்தியல் நிபுணர்.,She is a pharmacologist.,ఆమె ఫార్మకాలజిస్ట్.,She is a pharmacologist.,وہ فارماسولوجسٹ ہے۔,She is a pharmacologist.
She is a philosopher.,তিনি একজন দার্শনিক।,He is a philosopher.,તે ફિલોસોફર છે.,He is a philosopher.,वह एक दार्शनिक हैं।,He is a philosopher.,ಅವಳು ದಾರ್ಶನಿಕ.,She is a visionary.,അവൾ ഒരു തത്ത്വചിന്തകയാണ്.,She is a philosopher.,ती एक तत्वज्ञानी आहे.,She is a philosopher.,उनी एक दार्शनिक हुन्।,He is a philosopher.,ਉਹ ਇਕ ਦਾਰਸ਼ਨਿਕ ਹੈ.,He is a philosopher.,هوءَ فلسفي آهي.,She is a philosopher.,அவள் ஒரு தத்துவவாதி.,She is a philosopher.,ఆమె ఒక తత్వవేత్త.,She is a philosopher.,وہ ایک فلسفی ہے۔,He is a philosopher.
She is a photographer.,তিনি একজন ফটোগ্রাফার।,He is a photographer.,તે એક ફોટોગ્રાફર છે.,She is a photographer.,वह एक फोटोग्राफर हैं।,He is a photographer.,ಅವಳು ographer ಾಯಾಗ್ರಾಹಕ.,She is a photographer.,അവൾ ഒരു ഫോട്ടോഗ്രാഫറാണ്.,She is a photographer.,ती एक छायाचित्रकार आहे.,She is a photographer.,उनी एक फोटोग्राफर हुन्।,He is a photographer.,ਉਹ ਇਕ ਫੋਟੋਗ੍ਰਾਫਰ ਹੈ.,He is a photographer.,هوءَ هڪ فوٽوگرافر آهي.,She is a photographer.,அவள் ஒரு புகைப்படக்காரர்.,She is a photographer.,ఆమె ఫోటోగ్రాఫర్.,She is a photographer.,وہ فوٹو گرافر ہے۔,She is a photographer.
She is a physician assistant.,তিনি একজন চিকিত্সক সহকারী।,He is a medical assistant.,તે એક ચિકિત્સક સહાયક છે.,She is a physician assistant.,वह एक चिकित्सक सहायक है।,He is a medical assistant.,ಅವಳು ವೈದ್ಯ ಸಹಾಯಕ.,She is a physician assistant.,അവൾ ഒരു ഫിസിഷ്യൻ അസിസ്റ്റന്റാണ്.,She is a Physician Assistant.,ती एक फिजीशियन सहाय्यक आहे.,She is a physician assistant.,उनी एक चिकित्सक सहायक हुन्।,He is a medical assistant.,ਉਹ ਇੱਕ ਡਾਕਟਰ ਦੀ ਸਹਾਇਕ ਹੈ.,He is a doctor's assistant.,هوءَ هڪ طبيب جو اسسٽنٽ آهي.,She is a physician's assistant.,அவர் ஒரு மருத்துவர் உதவியாளர்.,He is a medical assistant.,ఆమె ఫిజిషియన్ అసిస్టెంట్.,She is a Physician Assistant.,وہ ایک معالج کی معاون ہے۔,She is a physician's assistant.
She is a physicist.,তিনি একজন পদার্থবিদ।,He is a physicist.,તે એક ભૌતિકશાસ્ત્રી છે.,He is a physicist.,वह एक भौतिक विज्ञानी हैं।,He is a physicist.,ಅವಳು ಭೌತಶಾಸ್ತ್ರಜ್ಞ.,She is a physicist.,അവൾ ഒരു ഭൗതികശാസ്ത്രജ്ഞയാണ്.,She is a physicist.,ती एक भौतिकशास्त्रज्ञ आहे.,She is a physicist.,उनी भौतिकशास्त्री हुन्।,He is a physicist.,ਉਹ ਇੱਕ ਭੌਤਿਕ ਵਿਗਿਆਨੀ ਹੈ.,He is a physicist.,هوءَ هڪ فزڪسسٽ آهي.,She is a physicist.,அவள் இயற்பியலாளர்.,She is a physicist.,ఆమె భౌతిక శాస్త్రవేత్త.,She is a physicist.,وہ ایک طبیعیات دان ہے۔,He is a physicist.
She is a pilot.,তিনি একজন পাইলট।,He is a pilot.,તે પાઇલટ છે.,He is a pilot.,वह एक पायलट है।,He is a pilot.,ಅವಳು ಪೈಲಟ್.,She's a pilot.,അവൾ ഒരു പൈലറ്റാണ്.,She is a pilot.,ती पायलट आहे.,She is a pilot.,उनी पायलट हुन्।,He is a pilot.,ਉਹ ਇੱਕ ਪਾਇਲਟ ਹੈ.,He is a pilot.,هوءَ پائلٽ آهي.,She's a pilot.,அவள் ஒரு பைலட்.,She is a pilot.,ఆమె పైలట్.,She is a pilot.,وہ پائلٹ ہے۔,He is a pilot.
She is a plumber.,তিনি একটি নদীর গভীরতানির্ণয় হয়।,He is a plumber.,તે પ્લમ્બર છે.,She is a plumber.,वह प्लंबर है।,He is a plumber.,ಅವಳು ಕೊಳಾಯಿಗಾರ.,She is a plumber.,അവൾ ഒരു പ്ലംബർ ആണ്.,She is a plumber.,ती एक प्लंबर आहे.,She is a plumber.,उनी प्लम्बर हुन्।,She is a plumber.,ਉਹ ਇਕ ਪਲੰਬਰ ਹੈ.,He is a plumber.,هوء هڪ پلمبر آهي.,She is a plumber.,அவள் ஒரு பிளம்பர்.,She is a plumber.,ఆమె ప్లంబర్.,She is a plumber.,وہ ایک پلمبر ہے۔,She is a plumber.
She is a politician.,তিনি একজন রাজনীতিবিদ।,He is a politician.,તે રાજકારણી છે.,She is a politician.,वह एक राजनीतिज्ञ हैं।,He is a politician.,ಅವಳು ರಾಜಕಾರಣಿ.,She is a politician.,അവർ ഒരു രാഷ്ട്രീയക്കാരിയാണ്.,She is a politician.,ती एक राजकारणी आहे.,She is a politician.,उनी एक राजनीतिज्ञ हुन्।,He is a politician.,ਉਹ ਇਕ ਰਾਜਨੇਤਾ ਹੈ।,He is a politician.,هوءَ سياڻو آهي.,She is a politician.,அவள் ஒரு அரசியல்வாதி.,She is a politician.,ఆమె రాజకీయ నాయకురాలు.,She is a politician.,وہ سیاستدان ہیں۔,He is a politician.
She is a receptionist.,তিনি একজন অভ্যর্থনাবিদ।,He is a receptionist.,તે રિસેપ્શનિસ્ટ છે.,She is a receptionist.,वह एक रिसेप्शनिस्ट है।,He is a receptionist.,ಅವಳು ಸ್ವಾಗತಕಾರ.,She's a receptionist.,അവൾ ഒരു റിസപ്ഷനിസ്റ്റാണ്.,She is a receptionist.,ती रिसेप्शनिस्ट आहे.,She is a receptionist.,उनी रिसेप्शनिस्ट छिन्।,She is a receptionist.,ਉਹ ਇੱਕ ਰਿਸੈਪਸ਼ਨਿਸਟ ਹੈ.,She is a receptionist.,هوءَ هڪ استقبال واري عورت آهي.,She is a welcoming woman.,அவள் ஒரு வரவேற்பாளர்.,She is a receptionist.,ఆమె రిసెప్షనిస్ట్.,She is a receptionist.,وہ استقبالیہ ہے۔,That is the reception.
She is a registered nurse.,তিনি একজন নিবন্ধিত নার্স।,She is a registered nurse.,તે રજિસ્ટર્ડ નર્સ છે.,She is a registered nurse.,वह एक पंजीकृत नर्स है।,She is a registered nurse.,ಅವಳು ನೋಂದಾಯಿತ ನರ್ಸ್.,She is a registered nurse.,അവൾ രജിസ്റ്റർ ചെയ്ത നഴ്‌സാണ്.,She is a registered nurse.,ती नोंदणीकृत परिचारिका आहे.,She is a registered nurse.,उनी एक पंजीकृत नर्स हुन्।,She is a registered nurse.,ਉਹ ਇੱਕ ਰਜਿਸਟਰਡ ਨਰਸ ਹੈ।,She is a registered nurse.,هوءَ هڪ رجسٽرڊ نرس آهي.,She is a registered nurse.,அவள் பதிவுசெய்யப்பட்ட நர்ஸ்.,She is a registered nurse.,ఆమె రిజిస్టర్డ్ నర్సు.,She is a registered nurse.,وہ رجسٹرڈ نرس ہے۔,She is a registered nurse.
She is a salesman.,তিনি একজন বিক্রয়কর্মী।,He is a salesman.,તે સેલ્સમેન છે.,He is a salesman.,वह एक सेल्समैन है।,He is a salesman.,ಅವಳು ಸೇಲ್ಸ್‌ಮ್ಯಾನ್.,She's a salesman.,അവൾ ഒരു സെയിൽസ്മാനാണ്.,She is a salesman.,ती एक सेल्समन आहे.,She is a salesman.,उनी एक विक्रेता हुन्।,He is a salesman.,ਉਹ ਇਕ ਸੇਲਜ਼ਮੈਨ ਹੈ.,He is a salesman.,هوءَ وڪڻڻ واري آهي.,She is for sale,அவள் ஒரு விற்பனையாளர்.,She is a salesperson.,ఆమె సేల్స్ మాన్.,She is a salesman.,وہ ایک سیلزمین ہے۔,He is a salesman.
She is a salesperson.,তিনি একজন বিক্রয়কর্মী।,He is a salesman.,તે સેલ્સપર્સન છે.,She is a salesperson.,वह एक विक्रेता है।,He is a seller.,ಅವಳು ಮಾರಾಟಗಾರ.,She is a salesman.,അവൾ ഒരു വിൽപ്പനക്കാരിയാണ്.,She is a saleswoman.,ती एक विक्रेता आहे.,She is a seller.,उनी एक विक्रेता हुन्।,He is a salesman.,ਉਹ ਇੱਕ ਸੇਲਸਪਰਸਨ ਹੈ.,She is a salesperson.,هوءَ فروش عورت آهي.,She is a saleswoman.,அவள் ஒரு விற்பனையாளர்.,She is a salesperson.,ఆమె సేల్స్ పర్సన్.,She is a sales person.,وہ سیلز پرسن ہے۔,She is a sales person.
She is a scientist.,তিনি একজন বিজ্ঞানী।,He is a scientist.,તે વૈજ્ .ાનિક છે.,He is a scientist.,वह एक वैज्ञानिक हैं।,He is a scientist.,ಅವಳು ವಿಜ್ಞಾನಿ.,She is a scientist.,അവൾ ഒരു ശാസ്ത്രജ്ഞയാണ്.,She is a scientist.,ती एक वैज्ञानिक आहे.,She is a scientist.,उनी एक वैज्ञानिक हुन्।,He is a scientist.,ਉਹ ਇੱਕ ਵਿਗਿਆਨੀ ਹੈ.,He is a scientist.,هوءَ سائنسدان آهي.,She is a scientist.,அவள் ஒரு விஞ்ஞானி.,She is a scientist.,ఆమె శాస్త్రవేత్త.,She is a scientist.,وہ ایک سائنسدان ہے۔,He is a scientist.
