original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
They are a geologist.,তারা একজন ভূতত্ত্ববিদ।,They are a geologist.,તેઓ ભૂસ્તરશાસ્ત્રી છે.,He is a geologist.,वे एक भूविज्ञानी हैं।,He is a geologist.,ಅವರು ಭೂವಿಜ್ಞಾನಿಗಳು.,They are geologists.,അവർ ഒരു ജിയോളജിസ്റ്റാണ്.,They are a geologist.,ते भूविज्ञानी आहेत.,They are geologists.,तिनीहरू भू-विज्ञानी हुन्।,They are geologists.,ਉਹ ਜੀਵ-ਵਿਗਿਆਨੀ ਹਨ।,They are biologists.,اهي جيولاجسٽ آهن.,They are geologists.,அவர்கள் ஒரு புவியியலாளர்.,They are a geographer.,వారు భూవిజ్ఞాన శాస్త్రవేత్త.,They are geologists.,وہ ماہر ارضیات ہیں۔,He is a geologist.
They are a graphic designer.,তারা একটি গ্রাফিক ডিজাইনার।,They are a graphic designer.,તેઓ ગ્રાફિક ડિઝાઇનર છે.,He is a graphic designer.,वे एक ग्राफिक डिजाइनर हैं।,He is a graphic designer.,ಅವರು ಗ್ರಾಫಿಕ್ ಡಿಸೈನರ್.,He is a graphic designer.,അവർ ഒരു ഗ്രാഫിക് ഡിസൈനറാണ്.,They are a graphic designer.,ते ग्राफिक डिझायनर आहेत.,He is a graphic designer.,तिनीहरू ग्राफिक डिजाइनर हुन्।,They are graphic designers.,ਉਹ ਗ੍ਰਾਫਿਕ ਡਿਜ਼ਾਈਨਰ ਹਨ.,They are graphic designers.,اهي گرافڪ ڊيزائنر آهن.,They are Graphic Designers.,அவர்கள் ஒரு கிராஃபிக் டிசைனர்.,They are a graphic designer.,వారు గ్రాఫిక్ డిజైనర్.,They are graphic designers.,وہ ایک گرافک ڈیزائنر ہیں۔,She is a graphic designer.
They are a human resource specialist.,তারা একজন মানবসম্পদ বিশেষজ্ঞ।,They are a human resource expert.,તેઓ માનવ સંસાધન નિષ્ણાત છે.,They are human resource experts.,वे मानव संसाधन विशेषज्ञ हैं।,He is a human resource specialist.,ಅವರು ಮಾನವ ಸಂಪನ್ಮೂಲ ತಜ್ಞರು.,They are HR specialists.,അവർ ഒരു മാനവ വിഭവ ശേഷി വിദഗ്ധരാണ്.,They are a human resource expert.,ते मानव संसाधन तज्ञ आहेत.,They are human resource experts.,तिनीहरू मानव संसाधन विशेषज्ञ हुन्।,They are human resource experts.,ਉਹ ਮਨੁੱਖੀ ਸਰੋਤ ਮਾਹਰ ਹਨ.,They are human resource experts.,اهي انساني وسيلن جا ماهر آهن.,They are experts in human resources.,அவர்கள் ஒரு மனித வள நிபுணர்.,They are a human resource expert.,వారు మానవ వనరుల నిపుణులు.,They are human resource professionals.,وہ ایک انسانی وسائل کے ماہر ہیں۔,He is a human resource expert.
They are an immunologist.,তারা একজন ইমিউনোলজিস্ট।,They are an immunologist.,તેઓ ઇમ્યુનોલોજિસ્ટ છે.,He is an immunologist.,वे एक इम्यूनोलॉजिस्ट हैं।,He is an immunologist.,ಅವರು ರೋಗನಿರೋಧಕ ತಜ್ಞರು.,They are immune specialists.,അവർ രോഗപ്രതിരോധശാസ്ത്രജ്ഞരാണ്.,They are immunologists.,ते रोगप्रतिकारविज्ञानी आहेत.,They are immunologists.,तिनीहरू एक प्रतिरक्षाविज्ञानी हुन्।,They are an immunologist.,ਉਹ ਇਕ ਇਮਿologistਨੋਲੋਜਿਸਟ ਹਨ.,He is an immunologist.,اهي هڪ امونولوجسٽ آهن.,He is an immunologist.,அவர்கள் நோயெதிர்ப்பு நிபுணர்.,They are immunologists.,వారు రోగనిరోధక శాస్త్రవేత్త.,They are immunologists.,وہ ایک امیونولوجسٹ ہیں۔,She is an immunologist.
They are an interpreters.,তারা একটি দোভাষী।,They are an interpreter.,તેઓ દુભાષિયા છે.,They are interpreters.,वे दुभाषिए हैं।,They are interpreters.,ಅವರು ವ್ಯಾಖ್ಯಾನಕಾರರು.,They are interpreters.,അവർ ഒരു വ്യാഖ്യാതാക്കളാണ്.,They are an interpreter.,ते दुभाषे आहेत.,They are interpreters.,तिनीहरू दोभाषे हुन्।,They are interpreters.,ਉਹ ਦੁਭਾਸ਼ੀਏ ਹਨ.,They are interpreters.,هو هڪ تعبير آهن.,They are an interpretation.,அவர்கள் ஒரு உரைபெயர்ப்பாளர்கள்.,They are an interpreters.,వారు వ్యాఖ్యాతలు.,They are commentators.,وہ ایک ترجمان ہیں۔,She is a spokesperson.
They are a jeweller.,তারা একজন জহরত।,They are a jewel.,તેઓ ઝવેરી છે.,They are jewelers.,वे एक जौहरी हैं।,He is a jeweller.,ಅವರು ಆಭರಣ ವ್ಯಾಪಾರಿ.,He is a jewelry dealer.,അവർ ഒരു ജ്വല്ലറിയാണ്.,They are a jeweler.,ते एक ज्वेलर आहेत.,He is a jeweler.,तिनीहरू एक जौहरी हुन्।,They are a jeweler.,ਉਹ ਇੱਕ ਗਹਿਣੇ ਹਨ.,They are an ornament.,اھي زيور آھن.,They are jewelry.,அவர்கள் ஒரு நகை வியாபாரி.,They are a jeweler.,వారు ఆభరణాలు.,They are ornaments.,وہ ایک زیور ہیں۔,They are an ornament.
They are a lawyer.,তারা আইনজীবী।,They are lawyers.,તેઓ વકીલ છે.,He is a lawyer.,वे एक वकील हैं।,He is a lawyer.,ಅವರು ವಕೀಲರು.,They are lawyers.,അവർ ഒരു അഭിഭാഷകനാണ്.,They are a lawyer.,ते वकील आहेत.,They are lawyers.,तिनीहरू एक वकिल हो।,They are a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹਨ.,He is a lawyer.,اهي وڪيل آهن.,They are lawyers.,அவர்கள் ஒரு வழக்கறிஞர்.,They are a lawyer.,వారు న్యాయవాది.,They are a lawyer.,وہ ایک وکیل ہیں۔,He is a lawyer.
They are a librarian.,তারা একজন গ্রন্থাগারিক।,They are a librarian.,તેઓ એક ગ્રંથપાલ છે.,He is a librarian.,वे एक पुस्तकालयाध्यक्ष हैं।,He is a librarian.,ಅವರು ಗ್ರಂಥಪಾಲಕರು.,They are librarians.,അവർ ഒരു ലൈബ്രേറിയനാണ്.,They are a librarian.,ते ग्रंथपाल आहेत.,He is a librarian.,तिनीहरू लाइब्रेरियन हुन्।,They are librarians.,ਉਹ ਇੱਕ ਲਾਇਬ੍ਰੇਰੀਅਨ ਹਨ.,He is a librarian.,اهي هڪ لائبريرين آهن.,They are a librarian.,அவர்கள் ஒரு நூலகர்.,They are a librarian.,వారు లైబ్రేరియన్.,They are librarians.,وہ ایک لائبریرین ہیں۔,He is a librarian.
They are a licensed practical nurse.,তারা একজন লাইসেন্সপ্রাপ্ত ব্যবহারিক নার্স।,She is a licensed practical nurse.,તેઓ એક લાઇસન્સ પ્રાપ્ત વ્યવહારુ નર્સ છે.,She is a licensed practical nurse.,वे एक लाइसेंस प्राप्त व्यावहारिक नर्स हैं।,She is a licensed practical nurse.,ಅವರು ಪರವಾನಗಿ ಪಡೆದ ಪ್ರಾಯೋಗಿಕ ದಾದಿ.,She is a licensed clinical nurse.,അവർ ലൈസൻസുള്ള പ്രായോഗിക നഴ്‌സാണ്.,They are licensed practical nurses.,ते परवानाधारक प्रॅक्टिकल नर्स आहेत.,They are licensed practical nurses.,तिनीहरू एक इजाजतपत्र व्यावहारिक नर्स छन्।,They are a licensed practical nurse.,ਉਹ ਇੱਕ ਲਾਇਸੰਸਸ਼ੁਦਾ ਵਿਹਾਰਕ ਨਰਸ ਹਨ.,She is a licensed practical nurse.,اهي هڪ لائسنس يافته عملي نرس آهن.,She is a licensed practical nurse.,அவர்கள் உரிமம் பெற்ற நடைமுறை செவிலியர்.,They are licensed practice nurses.,వారు లైసెన్స్ పొందిన ప్రాక్టికల్ నర్సు.,They are a licensed practical nurse.,وہ ایک لائسنس یافتہ عملی نرس ہیں۔,She is a licensed practical nurse.
They are a mechanic.,তারা একজন মেকানিক।,They are a mechanic.,તેઓ મિકેનિક છે.,He is a mechanic.,वे एक मैकेनिक हैं।,He is a mechanic.,ಅವರು ಮೆಕ್ಯಾನಿಕ್.,He's a mechanic.,അവർ ഒരു മെക്കാനിക്ക് ആണ്.,They are a mechanic.,ते एक मेकॅनिक आहेत.,He is a mechanic.,तिनीहरू मेकानिक हुन्।,They are mechanics.,ਉਹ ਇਕ ਮਕੈਨਿਕ ਹਨ.,He is a mechanic.,اهي هڪ مستري آهن.,They are a mechanic.,அவர்கள் ஒரு மெக்கானிக்.,They are a mechanic.,వారు మెకానిక్.,They are mechanics.,وہ ایک مکینک ہیں۔,He is a mechanic.
They are a medical laboratory scientist.,তারা একটি মেডিকেল পরীক্ষাগার বিজ্ঞানী।,They are a medical laboratory scientist.,તેઓ તબીબી પ્રયોગશાળા વૈજ્ .ાનિક છે.,He is a medical laboratory scientist.,वे एक चिकित्सा प्रयोगशाला वैज्ञानिक हैं।,He is a medical laboratory scientist.,ಅವರು ವೈದ್ಯಕೀಯ ಪ್ರಯೋಗಾಲಯ ವಿಜ್ಞಾನಿ.,He is a medical laboratory scientist.,അവർ ഒരു മെഡിക്കൽ ലബോറട്ടറി ശാസ്ത്രജ്ഞരാണ്.,They are a medical laboratory scientist.,ते वैद्यकीय प्रयोगशाळेतील वैज्ञानिक आहेत.,He is a scientist in a medical laboratory.,तिनीहरू एक चिकित्सा प्रयोगशाला वैज्ञानिक हुन्।,They are a medical laboratory scientist.,ਉਹ ਇੱਕ ਮੈਡੀਕਲ ਲੈਬਾਰਟਰੀ ਵਿਗਿਆਨੀ ਹਨ.,He is a medical laboratory scientist.,اھي ھڪ طبي ليبارٽري سائنسدان آھن.,He is a medical laboratory scientist.,அவர்கள் ஒரு மருத்துவ ஆய்வக விஞ்ஞானி.,They are a medical laboratory scientist.,వారు వైద్య ప్రయోగశాల శాస్త్రవేత్త.,They are a medical laboratory scientist.,وہ میڈیکل لیبارٹری کے سائنسدان ہیں۔,He is a medical laboratory scientist.
They are a meteorologist.,তারা একজন আবহাওয়াবিদ।,They are a meteorologist.,તેઓ હવામાનશાસ્ત્રી છે.,They are meteorologists.,वे मौसम विज्ञानी हैं।,He is a meteorologist.,ಅವರು ಹವಾಮಾನ ತಜ್ಞರು.,They are weather experts.,അവർ ഒരു കാലാവസ്ഥാ നിരീക്ഷകനാണ്.,They are a meteorologist.,ते हवामानशास्त्रज्ञ आहेत.,They are meteorologists.,तिनीहरू मौसमविद् हो।,They are meteorologists.,ਉਹ ਇੱਕ ਮੌਸਮ ਵਿਗਿਆਨੀ ਹਨ.,He is a meteorologist.,اهي هڪ ماهر موسميات آهن.,They are an expert weatherman.,அவர்கள் ஒரு வானிலை ஆய்வாளர்.,They are a meteorologist.,వారు వాతావరణ శాస్త్రవేత్త.,They are meteorologists.,وہ ماہر موسمیات ہیں۔,He is a meteorologist.
They are a midwife.,তারা একজন ধাত্রী।,They are a midwife.,તેઓ એક મિડવાઇફ છે.,She is a midwife.,वे एक दाई हैं।,They are a midwife.,ಅವರು ಸೂಲಗಿತ್ತಿ.,He is a midwife.,അവർ ഒരു മിഡ്വൈഫാണ്.,They are a midwife.,ते एक दाई आहेत.,She is a midwife.,तिनीहरू एक सुँडेनी हुन्।,She is a midwife.,ਉਹ ਦਾਈ ਹਨ.,They are midwives.,اهي aائي قابيل آهن.,They are ai able.,அவர்கள் ஒரு மருத்துவச்சி.,They are a midwife.,వారు ఒక మంత్రసాని.,They are a midwife.,وہ دائی ہیں۔,She is a midwife.
They are a military officer.,তারা একজন সামরিক কর্মকর্তা।,They are a military officer.,તેઓ લશ્કરી અધિકારી છે.,He is a military officer.,वे एक सैन्य अधिकारी हैं।,He is a military officer.,ಅವರು ಮಿಲಿಟರಿ ಅಧಿಕಾರಿ.,He is a military officer.,അവർ ഒരു സൈനിക ഉദ്യോഗസ്ഥനാണ്.,They are a military officer.,ते सैन्य अधिकारी आहेत.,They are military officers.,तिनीहरू एक सैन्य अधिकारी हुन्।,They are a military officer.,ਉਹ ਇੱਕ ਫੌਜੀ ਅਧਿਕਾਰੀ ਹਨ.,He is a military officer.,اهي فوجي آفيسر آهن.,They are military officers.,அவர்கள் ஒரு ராணுவ அதிகாரி.,They are an army officer.,వారు మిలటరీ అధికారి.,They are a military officer.,وہ ایک فوجی افسر ہیں۔,He is a military officer.
They are a nutritionist.,তারা একজন পুষ্টিবিদ।,They are a nutritionist.,તેઓ ન્યુટ્રિશનિસ્ટ છે.,They are nutritionists.,वे एक पोषण विशेषज्ञ हैं।,He is a nutritionist.,ಅವರು ಪೌಷ್ಟಿಕತಜ್ಞರು.,They are nutritionists.,അവർ പോഷകാഹാര വിദഗ്ധരാണ്.,They are nutritionists.,ते पोषण तज्ञ आहेत.,They are nutritionists.,तिनीहरू पोषण विशेषज्ञ हुन्।,They are nutritionists.,ਉਹ ਪੌਸ਼ਟਿਕ ਤੱਤ ਹਨ.,They are nutrients.,اهي هڪ غذائيت پسند آهن.,They are a nutritionist.,அவர்கள் ஒரு ஊட்டச்சத்து நிபுணர்.,They are a nutritionist.,వారు పోషకాహార నిపుణులు.,They are nutritionists.,وہ غذائیت پسند ہیں۔,They are nutritionists.
They are an oceanographer.,তারা একজন সমুদ্রবিদ।,They are an oceanographer.,તેઓ એક સમુદ્રવિજ્ .ાની છે.,He is an oceanographer.,वे एक समुद्र विज्ञानी हैं।,He is an oceanographer.,ಅವರು ಸಮುದ್ರಶಾಸ್ತ್ರಜ್ಞ.,He is an oceanographer.,അവർ ഒരു സമുദ്രശാസ്ത്രജ്ഞനാണ്.,They are an oceanographer.,ते एक समुद्रशास्त्रज्ञ आहेत.,He is an oceanographer.,तिनीहरू एक समुद्र वैज्ञानिक छन्।,They are an oceanographer.,ਉਹ ਸਮੁੰਦਰੀ ਲੇਖਕ ਹਨ.,He is a marine writer.,اهي سامونڊي ماهر آهن.,They are marine experts.,அவர்கள் ஒரு கடல்சார்.,They are a marine.,వారు ఓషనోగ్రాఫర్.,They are oceanographers.,وہ ایک بحر سائنسدان ہیں۔,He is an oceanographer.
They are an osteopath.,তারা একজন অস্টিওপ্যাথ।,They are an osteopath.,તેઓ એક osસ્ટિઓપેથ છે.,They are an os steopath.,वे एक ऑस्टियोपैथ हैं।,He is an osteopath.,ಅವರು ಅಸ್ಥಿಪಂಜರ.,He is a skeleton.,അവ ഒരു ഓസ്റ്റിയോപത്താണ്.,They are an osteopath.,ते ऑस्टिओपॅथ आहेत.,They are osteopaths.,तिनीहरू अस्थि रोग हो।,They are bone diseases.,ਉਹ ਇੱਕ ਗਠੀਏ ਹਨ.,They have an arthritis.,اهي هڪ اوستيوپيٿا آهن.,They are an osteopathy.,அவர்கள் ஒரு ஆஸ்டியோபாத்.,They are an osteopath.,అవి బోలు ఎముకల వ్యాధి.,They are osteoporosis.,وہ آسٹیوپیتھ ہیں۔,She is an osteopath.
They are a painter.,তারা একজন চিত্রশিল্পী।,They are a painter.,તેઓ એક ચિત્રકાર છે.,He is a painter.,वे एक चित्रकार हैं।,He is a painter.,ಅವರು ವರ್ಣಚಿತ್ರಕಾರರು.,They are painters.,അവർ ഒരു ചിത്രകാരനാണ്.,They are a painter.,ते चित्रकार आहेत.,They are painters.,तिनीहरू चित्रकार हुन्।,They are painters.,ਉਹ ਇੱਕ ਚਿੱਤਰਕਾਰ ਹਨ.,He is a painter.,اهي هڪ پينٽر آهن.,They are a painter.,அவர்கள் ஒரு ஓவியர்.,They are a painter.,వారు చిత్రకారుడు.,They are painter.,وہ ایک پینٹر ہیں۔,He is a painter.
They are a paramedic.,তারা একটি প্যারামেডিক।,They are a paramedic.,તેઓ એક પેરામેડિક છે.,He is a paramedic.,वे एक पैरामेडिक हैं।,He is a paramedic.,ಅವರು ಅರೆವೈದ್ಯರು.,They are semiotics.,അവർ ഒരു പാരാമെഡിക്കാണ്.,They are a paramedic.,ते एक पॅरामेडिक आहेत.,He is a paramedic.,तिनीहरू एक प्यारामेडिक हो।,They are a paramedic.,ਉਹ ਇੱਕ ਪੈਰਾ ਮੈਡੀਕਲ ਹਨ.,They are a paramedic.,اهي هڪ طبقي جي تيار ڪيل آهن.,They are made of a class.,அவர்கள் ஒரு துணை மருத்துவர்.,They are a paramedic.,వారు పారామెడిక్.,They are paramedic.,وہ ایک پیرامیڈک ہیں۔,He is a paramedic.
They are a pathologist.,তারা একজন রোগ বিশেষজ্ঞ ologist,They are a pathologist,તેઓ પેથોલોજીસ્ટ છે.,He is a pathologist.,वे एक पैथोलॉजिस्ट हैं।,He is a pathologist.,ಅವರು ರೋಗಶಾಸ್ತ್ರಜ್ಞರು.,They are pathologists.,അവർ ഒരു പാത്തോളജിസ്റ്റാണ്.,They are a pathologist.,ते पॅथॉलॉजिस्ट आहेत.,He is a pathologist.,तिनीहरू एक रोगविज्ञानी हुन्।,They are a pathologist.,ਉਹ ਇੱਕ ਰੋਗ ਵਿਗਿਆਨੀ ਹਨ.,He is a pathologist.,اهي هڪ پيٿالوجسٽ آهن.,He is a pathologist.,அவர்கள் ஒரு நோயியல் நிபுணர்.,They are a pathologist.,వారు పాథాలజిస్ట్.,They are pathologists.,وہ پیتھالوجسٹ ہیں۔,He is a pathologist.
They are a pharmacologist.,তারা একজন ফার্মাকোলজিস্ট।,They are a pharmacologist.,તેઓ ફાર્માકોલોજિસ્ટ છે.,He is a pharmacologist.,वे एक फार्माकोलॉजिस्ट हैं।,He is a pharmacologist.,ಅವರು c ಷಧಶಾಸ್ತ್ರಜ್ಞರು.,They are c oncologists.,അവർ ഒരു ഫാർമക്കോളജിസ്റ്റാണ്.,They are a pharmacologist.,ते औषधनिर्माणशास्त्रज्ञ आहेत.,He is a pharmacologist.,तिनीहरू औषधिविद् हो।,They are pharmacologists.,ਉਹ ਇੱਕ ਫਾਰਮਾਸੋਲੋਜਿਸਟ ਹਨ.,He is a pharmacologist.,اھي فارماسولوجسٽ آھن.,They are pharmacologists.,அவர்கள் மருந்தியல் நிபுணர்.,They are pharmacologists.,వారు ఫార్మకాలజిస్ట్.,They are pharmacologists.,وہ فارماسولوجسٹ ہیں۔,He is a pharmacologist.
They are a philosopher.,তারা দার্শনিক।,They are philosophers.,તેઓ ફિલોસોફર છે.,He is a philosopher.,वे एक दार्शनिक हैं।,He is a philosopher.,ಅವರು ದಾರ್ಶನಿಕರು.,They are visionaries.,അവർ ഒരു തത്ത്വചിന്തകനാണ്.,They are a philosopher.,ते तत्वज्ञानी आहेत.,They are philosophers.,तिनीहरू दार्शनिक हुन्।,They are philosophers.,ਉਹ ਇੱਕ ਦਾਰਸ਼ਨਿਕ ਹਨ.,He is a philosopher.,هي هڪ فلسفي آهن.,They are a philosophy.,அவர்கள் ஒரு தத்துவவாதி.,They are a philosopher.,వారు ఒక తత్వవేత్త.,They are a philosopher.,وہ ایک فلسفی ہیں۔,He is a philosopher.
They are a photographer.,তারা একজন ফটোগ্রাফার।,They are a photographer.,તેઓ ફોટોગ્રાફર છે.,He is a photographer.,वे एक फोटोग्राफर हैं।,He is a photographer.,ಅವರು ographer ಾಯಾಗ್ರಾಹಕರು.,They are ographer photographers.,അവർ ഒരു ഫോട്ടോഗ്രാഫറാണ്.,They are a photographer.,ते छायाचित्रकार आहेत.,They are photographers.,तिनीहरू फोटोग्राफर हुन्।,They are photographers.,ਉਹ ਇੱਕ ਫੋਟੋਗ੍ਰਾਫਰ ਹਨ.,He is a photographer.,اهي هڪ فوٽوگرافر آهن.,He is a photographer.,அவர்கள் ஒரு புகைப்படக்காரர்.,They are a photographer.,వారు ఫోటోగ్రాఫర్.,They are photographers.,وہ فوٹو گرافر ہیں۔,He is a photographer.
They are a physician assistant.,তারা একটি চিকিত্সক সহকারী।,They are a physician assistant.,તેઓ એક ચિકિત્સક સહાયક છે.,He is a physician assistant.,वे एक चिकित्सक सहायक हैं।,He is a medical assistant.,ಅವರು ವೈದ್ಯ ಸಹಾಯಕರು.,They are physician assistants.,അവർ ഒരു ഫിസിഷ്യൻ അസിസ്റ്റന്റാണ്.,She is a Physician Assistant.,ते एक फिजीशियन सहाय्यक आहेत.,He is a physician assistant.,तिनीहरू एक चिकित्सक सहायक हो।,They are a physician assistant.,ਉਹ ਇੱਕ ਡਾਕਟਰ ਸਹਾਇਕ ਹਨ.,He is a medical assistant.,اھي ھڪڙو طبيب اسسٽنٽ آھن.,He is a physician assistant.,அவர்கள் மருத்துவர் உதவியாளர்கள்.,They are physician assistants.,వారు ఫిజిషియన్ అసిస్టెంట్.,They are Physician Assistant.,وہ ایک معالج معاون ہیں۔,She is a physician assistant.
They are a physicist.,তারা একজন পদার্থবিদ।,They are a physicist.,તેઓ એક ભૌતિકશાસ્ત્રી છે.,He is a physicist.,वे एक भौतिक विज्ञानी हैं।,He is a physicist.,ಅವರು ಭೌತಶಾಸ್ತ್ರಜ್ಞ.,He is a physicist.,അവർ ഒരു ഭൗതികശാസ്ത്രജ്ഞനാണ്.,They are a physicist.,ते भौतिकशास्त्रज्ञ आहेत.,They are physicists.,तिनीहरू भौतिकशास्त्री हुन्।,They are physicists.,ਉਹ ਭੌਤਿਕ ਵਿਗਿਆਨੀ ਹਨ.,They are physicists.,اهي هڪ فزڪسسٽ.,They are a physicist.,அவர்கள் ஒரு இயற்பியலாளர்.,They are a physicist.,వారు భౌతిక శాస్త్రవేత్త.,They are physicists.,وہ ایک طبیعیات دان ہیں۔,He is a physicist.
They are a pilot.,তারা একজন পাইলট।,They are a pilot.,તેઓ પાઇલટ છે.,They are pilots.,वे एक पायलट हैं।,He is a pilot.,ಅವರು ಪೈಲಟ್.,He's a pilot.,അവർ ഒരു പൈലറ്റാണ്.,They are a pilot.,ते पायलट आहेत.,They are pilots.,तिनीहरू पायलट हुन्।,They are pilots.,ਉਹ ਇੱਕ ਪਾਇਲਟ ਹਨ.,He is a pilot.,اهي پائلٽ آهن.,They are pilots.,அவர்கள் ஒரு பைலட்.,They are a pilot.,వారు పైలట్.,They are pilots.,وہ پائلٹ ہیں۔,They are pilots.
They are a plumber.,তারা একটি নদীর গভীরতানির্ণয় হয়।,They are a plumbing.,તેઓ પ્લમ્બર છે.,They are plumbers.,वे प्लंबर हैं।,They are plumbers.,ಅವರು ಕೊಳಾಯಿಗಾರರು.,They are plumbers.,അവർ ഒരു പ്ലംബർ ആണ്.,They are a plumber.,ते एक प्लंबर आहेत.,He is a plumber.,तिनीहरू प्लम्बर हुन्।,They are plumbers.,ਉਹ ਇੱਕ ਪਲੰਬਰ ਹਨ.,He is a plumber.,اهي هڪ پلمبر آهن.,They are a plumber.,அவர்கள் ஒரு பிளம்பர்.,They are a plumber.,వారు ప్లంబర్.,They are plumbers.,وہ ایک پلمبر ہیں۔,He is a plumber.
They are a politician.,তারা রাজনীতিবিদ।,They are politicians.,તેઓ રાજકારણી છે.,He is a politician.,वे एक राजनेता हैं।,He is a politician.,ಅವರು ರಾಜಕಾರಣಿ.,He is a politician.,അവർ ഒരു രാഷ്ട്രീയക്കാരനാണ്.,They are a politician.,ते एक राजकारणी आहेत.,He is a politician.,तिनीहरू राजनीतिज्ञ हुन्।,They are politicians.,ਉਹ ਇਕ ਰਾਜਨੇਤਾ ਹਨ.,He is a politician.,اهي هڪ سياستدان آهن.,He is a politician.,அவர்கள் ஒரு அரசியல்வாதி.,They are a politician.,వారు రాజకీయ నాయకులు.,They are politicians.,وہ سیاستدان ہیں۔,He is a politician.
They are a receptionist.,তারা একটি অভ্যর্থনাবিদ।,They are a receptionist.,તેઓ રિસેપ્શનિસ્ટ છે.,He is a receptionist.,वे रिसेप्शनिस्ट हैं।,He is the receptionist.,ಅವರು ಸ್ವಾಗತಕಾರರು.,They are receptionists.,അവർ ഒരു റിസപ്ഷനിസ്റ്റാണ്.,They are a receptionist.,ते रिसेप्शनिस्ट आहेत.,They are receptionists.,तिनीहरू एक रिसेप्शनिस्ट हुन्।,They are a receptionist.,ਉਹ ਇੱਕ ਰਿਸੈਪਸ਼ਨਿਸਟ ਹਨ.,She is a receptionist.,اهي هڪ رضاڪار آهن.,They are a volunteer.,அவர்கள் ஒரு வரவேற்பாளர்.,They are a receptionist.,వారు రిసెప్షనిస్ట్.,They are the receptionist.,وہ استقبالیہ ہیں۔,They are welcome.
They are a registered nurse.,তারা একজন নিবন্ধিত নার্স।,She is a registered nurse.,તેઓ રજિસ્ટર્ડ નર્સ છે.,She is a registered nurse.,वे एक पंजीकृत नर्स हैं।,She is a registered nurse.,ಅವರು ನೋಂದಾಯಿತ ನರ್ಸ್.,He is a registered nurse.,അവർ രജിസ്റ്റർ ചെയ്ത നഴ്‌സാണ്.,They are registered nurses.,ते नोंदणीकृत परिचारिका आहेत.,They are registered nurses.,तिनीहरू दर्ता नर्स छन्।,They are registered nurses.,ਉਹ ਇੱਕ ਰਜਿਸਟਰਡ ਨਰਸ ਹਨ.,She is a registered nurse.,اهي هڪ رجسٽرڊ نرس آهن.,He is a registered nurse.,அவர்கள் பதிவுசெய்யப்பட்ட நர்ஸ்.,They are registered nurses.,వారు రిజిస్టర్డ్ నర్సు.,They are a registered nurse.,وہ رجسٹرڈ نرس ہیں۔,She is a registered nurse.
They are a salesman.,তারা একজন বিক্রয়কর্মী।,They are a salesman.,તેઓ સેલ્સમેન છે.,They are salesmen.,वे एक सेल्समैन हैं।,He is a salesman.,ಅವರು ಸೇಲ್ಸ್‌ಮ್ಯಾನ್.,He's a salesman.,അവർ ഒരു സെയിൽസ്മാനാണ്.,They are a salesman.,ते एक विक्रेता आहेत.,They are a seller.,तिनीहरू एक बिक्रेता हो।,They are a seller.,ਉਹ ਇੱਕ ਸੇਲਜ਼ਮੈਨ ਹਨ.,He is a salesman.,اهي وڪرو وڪڻندڙ آهن.,They are selling sellers.,அவர்கள் ஒரு விற்பனையாளர்.,They are a salesperson.,వారు సేల్స్ మాన్.,They are salesmen.,وہ ایک سیلز مین ہیں۔,He is a salesman.
They are a salesperson.,তারা একজন বিক্রয়কর্মী।,They are a salesman.,તેઓ સેલ્સપર્સન છે.,They are salespersons.,वे एक विक्रेता हैं।,They are a seller.,ಅವರು ಮಾರಾಟಗಾರರಾಗಿದ್ದಾರೆ.,He is a salesman.,അവർ ഒരു വിൽപ്പനക്കാരനാണ്.,They are a salesperson.,ते एक विक्रेता आहेत.,They are a seller.,तिनीहरू एक विक्रेता हुन्।,They are a seller.,ਉਹ ਇੱਕ ਸੇਲਸਪਰਸਨ ਹਨ.,She is a salesperson.,اهي وڪرو ڪندڙ آهن.,They are sellers.,அவர்கள் ஒரு விற்பனையாளர்.,They are a salesperson.,వారు అమ్మకందారులే.,They are sellers.,وہ سیلز پرسن ہیں۔,They are sales people.
They are a scientist.,তারা একটি বিজ্ঞানী।,They are a scientist.,તેઓ વૈજ્ .ાનિક છે.,They are scientific.,वे एक वैज्ञानिक हैं।,He is a scientist.,ಅವರು ವಿಜ್ಞಾನಿಗಳು.,They are scientists.,അവർ ഒരു ശാസ്ത്രജ്ഞനാണ്.,They are a scientist.,ते एक वैज्ञानिक आहेत.,He is a scientist.,तिनीहरू एक वैज्ञानिक हुन्।,They are a scientist.,ਉਹ ਇੱਕ ਵਿਗਿਆਨੀ ਹਨ.,He is a scientist.,اهي هڪ سائنسدان آهن.,They are a scientist.,அவர்கள் ஒரு விஞ்ஞானி.,They are a scientist.,వారు శాస్త్రవేత్త.,They are scientists.,وہ ایک سائنسدان ہیں۔,He is a scientist.
